# large recoil, bin width 0.5 GeV^2
# B->K^*ll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	-1.11801e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	2.90013e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	-3.99122e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	-6.02133e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	-4.18233e-39	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	-2.18167e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15	15.5	3.291e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	2.68394e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	3.68272e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	4.79186e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	-3.65051e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	1.59474e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	-1.23731e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	2.84242e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	-3.71926e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	-5.79154e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	2.57763e-39	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	-1.94859e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
15.5	16	3.03397e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	2.56291e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	3.45089e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	4.62457e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	-3.42297e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	1.53912e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	-1.35172e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	2.75338e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	-3.39037e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	-5.45381e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	-4.18278e-39	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	-1.70555e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16	16.5	2.74328e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	2.40439e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	3.18039e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	4.38082e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	-3.15695e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	1.45804e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	-1.45261e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	2.62587e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	-3.00018e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	-4.99026e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	-3.88991e-40	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	-1.45156e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
16.5	17	2.41415e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	2.20055e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	2.86352e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	4.04436e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	-2.84471e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	1.3461e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	-1.52604e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	2.44933e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	-2.54388e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	-4.37967e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	-8.26934e-40	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	-1.18557e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17	17.5	2.04091e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	1.93905e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	2.48694e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	3.59052e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	-2.47284e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	1.19509e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	-1.5481e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	2.20654e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	-2.01608e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	-3.59668e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	-4.08587e-39	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	-9.06409e-25	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
17.5	18	1.61685e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	1.59657e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	2.02327e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	2.97427e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	-2.01389e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	9.89999e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	-1.47307e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	1.86458e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	-1.41082e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	-2.61077e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	3.30783e-39	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	-6.12828e-25	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18	18.5	1.13394e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	1.10891e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	1.39323e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	2.07452e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	-1.38842e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	6.90532e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	-1.18608e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	1.33488e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	-7.21368e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	-1.38499e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	4.43484e-39	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	-3.03418e-25	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
18.5	19	5.82489e-25	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma+Gammabar@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	2.20205e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	2.75599e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	4.12701e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	-2.7492e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	1.37376e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	-2.63503e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	2.72005e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	-7.55918e-23	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	-1.49415e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	4.6609e-40	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	-3.1041e-26	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LowRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
19	19.21	6.13549e-26	0	0	0	0   (-0% / +0%)
# large recoil, bin width 0.5 GeV^2
# B->K^*ll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	1.88515e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	8.64458e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	4.20444e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	-8.09553e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	1.35078e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	1.4746e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	-8.04523e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	2.61876e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	4.06148e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	5.4122e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	-1.46969e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	2	3.27856e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	1.58059e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	9.0893e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	2.13974e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	-8.72378e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	7.06207e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	-1.92985e-23	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	5.36508e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	-2.31005e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	2.62765e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	4.55529e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	-1.46916e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	3	3.45219e-24	0	0	0	0   (-0% / +0%)
